origine,destination,delta_days,proba_open
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),0,0.9145299145299145
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),1,0.9111111111111111
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),2,0.9162393162393163
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),3,0.8722222222222222
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),4,0.8072649572649573
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),5,0.7782051282051282
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),6,0.7876068376068377
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),7,0.7854700854700856
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),8,0.7645299145299146
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),9,0.7803418803418803
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),10,0.791880341880342
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),11,0.8042735042735042
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),12,0.7538461538461538
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),13,0.7384615384615385
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),14,0.755982905982906
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),15,0.7769230769230769
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),16,0.7867521367521367
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),17,0.7901709401709403
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),18,0.7961538461538462
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),19,0.8051282051282052
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),20,0.7982905982905983
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),21,0.8072649572649573
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),22,0.8102564102564103
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),23,0.811965811965812
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),24,0.8423076923076923
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),25,0.8444444444444444
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),26,0.8333333333333334
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),27,0.8081196581196581
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),28,0.7504273504273504
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),29,0.5914529914529915
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),30,0.057327586206896555
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,0,0.6534188034188034
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,1,0.6239316239316239
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,2,0.5222222222222223
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,3,0.432051282051282
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,4,0.2923076923076923
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,5,0.27863247863247864
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,6,0.2811965811965812
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,7,0.28931623931623934
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,8,0.29529914529914525
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,9,0.297008547008547
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,10,0.31153846153846154
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,11,0.3269230769230769
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,12,0.26282051282051283
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,13,0.26666666666666666
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,14,0.28589743589743594
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,15,0.3038461538461538
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,16,0.3243589743589744
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,17,0.3331896551724138
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,18,0.321551724137931
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,19,0.3275862068965517
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,20,0.33879310344827585
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,21,0.3646551724137931
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,22,0.37112068965517236
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,23,0.38275862068965516
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,24,0.3773913043478261
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,25,0.38130434782608696
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,26,0.3847826086956522
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,27,0.37956521739130433
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,28,0.37478260869565216
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,29,0.34043478260869564
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,30,0.04078947368421053
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,0,0.2924242424242424
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,1,0.28080808080808084
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,2,0.2737373737373738
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,3,0.2415
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,4,0.147
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,5,0.1525252525252525
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,6,0.16212121212121214
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,7,0.18636363636363637
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,8,0.2297979797979798
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,9,0.2474747474747475
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,10,0.24600000000000002
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,11,0.249
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,12,0.12575757575757576
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,13,0.11581632653061225
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,14,0.11237113402061856
