origine,destination,delta_days,proba_open
PARIS (intramuros),ALBI MADELEINE,0,0.7374999999999999
PARIS (intramuros),ALBI MADELEINE,1,0.6833333333333332
PARIS (intramuros),ALBI MADELEINE,2,0.7333333333333334
PARIS (intramuros),ALBI MADELEINE,3,0.7791666666666667
PARIS (intramuros),ALBI MADELEINE,4,0.09583333333333333
PARIS (intramuros),ALBI MADELEINE,5,0.08333333333333333
PARIS (intramuros),ALBI MADELEINE,6,0.08333333333333333
PARIS (intramuros),ALBI MADELEINE,7,0.016666666666666666
PARIS (intramuros),ALBI MADELEINE,8,0.0
PARIS (intramuros),ALBI MADELEINE,9,0.0
PARIS (intramuros),ALBI MADELEINE,10,0.0
PARIS (intramuros),ALBI MADELEINE,11,0.0
PARIS (intramuros),ALBI MADELEINE,12,0.0
PARIS (intramuros),ALBI MADELEINE,13,0.0
PARIS (intramuros),ALBI MADELEINE,14,0.0
PARIS (intramuros),ALBI MADELEINE,15,0.0
PARIS (intramuros),ALBI MADELEINE,16,0.0
PARIS (intramuros),ALBI MADELEINE,17,0.0
PARIS (intramuros),ALBI MADELEINE,18,0.0
PARIS (intramuros),ALBI MADELEINE,19,0.0
PARIS (intramuros),ALBI MADELEINE,20,0.0
PARIS (intramuros),ALBI MADELEINE,21,0.0
PARIS (intramuros),ALBI MADELEINE,22,0.0
PARIS (intramuros),ALBI MADELEINE,23,0.0
PARIS (intramuros),ALBI MADELEINE,24,0.0
PARIS (intramuros),ALBI MADELEINE,25,0.0
PARIS (intramuros),ALBI MADELEINE,26,0.0
PARIS (intramuros),ALBI MADELEINE,27,0.0
PARIS (intramuros),ALBI MADELEINE,28,0.0
PARIS (intramuros),ALBI MADELEINE,29,0.0
PARIS (intramuros),ALBI MADELEINE,30,0.0
PARIS (intramuros),ALBI VILLE,0,0.7625000000000001
PARIS (intramuros),ALBI VILLE,1,0.6958333333333333
PARIS (intramuros),ALBI VILLE,2,0.7541666666666668
PARIS (intramuros),ALBI VILLE,3,0.7958333333333334
PARIS (intramuros),ALBI VILLE,4,0.13333333333333333
PARIS (intramuros),ALBI VILLE,5,0.08750000000000001
PARIS (intramuros),ALBI VILLE,6,0.08333333333333333
PARIS (intramuros),ALBI VILLE,7,0.012499999999999999
PARIS (intramuros),ALBI VILLE,8,0.0
PARIS (intramuros),ALBI VILLE,9,0.0
PARIS (intramuros),ALBI VILLE,10,0.0
PARIS (intramuros),ALBI VILLE,11,0.0
PARIS (intramuros),ALBI VILLE,12,0.0
PARIS (intramuros),ALBI VILLE,13,0.0
PARIS (intramuros),ALBI VILLE,14,0.0
PARIS (intramuros),ALBI VILLE,15,0.0
PARIS (intramuros),ALBI VILLE,16,0.0
PARIS (intramuros),ALBI VILLE,17,0.0
PARIS (intramuros),ALBI VILLE,18,0.0
PARIS (intramuros),ALBI VILLE,19,0.0
PARIS (intramuros),ALBI VILLE,20,0.0
PARIS (intramuros),ALBI VILLE,21,0.0
PARIS (intramuros),ALBI VILLE,22,0.0
PARIS (intramuros),ALBI VILLE,23,0.0
PARIS (intramuros),ALBI VILLE,24,0.0
PARIS (intramuros),ALBI VILLE,25,0.0
PARIS (intramuros),ALBI VILLE,26,0.0
PARIS (intramuros),ALBI VILLE,27,0.0
PARIS (intramuros),ALBI VILLE,28,0.0
PARIS (intramuros),ALBI VILLE,29,0.0
PARIS (intramuros),ALBI VILLE,30,0.0
PARIS (intramuros),ASSIER,0,0.7827102803738317
PARIS (intramuros),ASSIER,1,0.799074074074074
PARIS (intramuros),ASSIER,2,0.823394495412844
PARIS (intramuros),ASSIER,3,0.8211009174311926
PARIS (intramuros),ASSIER,4,0.6291666666666667
PARIS (intramuros),ASSIER,5,0.6254629629629629
PARIS (intramuros),ASSIER,6,0.641588785046729
PARIS (intramuros),ASSIER,7,0.47870370370370374
PARIS (intramuros),ASSIER,8,0.4602803738317757
PARIS (intramuros),ASSIER,9,0.4355140186915888
PARIS (intramuros),ASSIER,10,0.4009345794392523
PARIS (intramuros),ASSIER,11,0.44292452830188683
PARIS (intramuros),ASSIER,12,0.4447619047619048
PARIS (intramuros),ASSIER,13,0.43076923076923074
PARIS (intramuros),ASSIER,14,0.42952380952380953
PARIS (intramuros),ASSIER,15,0.42000000000000004
PARIS (intramuros),ASSIER,16,0.41298076923076926
PARIS (intramuros),ASSIER,17,0.41893203883495145
PARIS (intramuros),ASSIER,18,0.4372549019607843
PARIS (intramuros),ASSIER,19,0.42135922330097086
PARIS (intramuros),ASSIER,20,0.3995145631067961
PARIS (intramuros),ASSIER,21,0.39326923076923076
PARIS (intramuros),ASSIER,22,0.38857142857142857
PARIS (intramuros),ASSIER,23,0.3855769230769231
PARIS (intramuros),ASSIER,24,0.38883495145631064
PARIS (intramuros),ASSIER,25,0.3941176470588236
PARIS (intramuros),ASSIER,26,0.3916666666666667
PARIS (intramuros),ASSIER,27,0.3764705882352941
PARIS (intramuros),ASSIER,28,0.37524271844660195
PARIS (intramuros),ASSIER,29,0.37259615384615385
PARIS (intramuros),ASSIER,30,0.04471153846153846
PARIS (intramuros),AUBIN,0,0.7929906542056074
PARIS (intramuros),AUBIN,1,0.7972222222222222
PARIS (intramuros),AUBIN,2,0.8192660550458716
PARIS (intramuros),AUBIN,3,0.8165137614678899
PARIS (intramuros),AUBIN,4,0.6333333333333334
PARIS (intramuros),AUBIN,5,0.6189814814814815
PARIS (intramuros),AUBIN,6,0.6401869158878505
PARIS (intramuros),AUBIN,7,0.47175925925925927
PARIS (intramuros),AUBIN,8,0.4593457943925234
PARIS (intramuros),AUBIN,9,0.4383177570093458
PARIS (intramuros),AUBIN,10,0.4004672897196262
PARIS (intramuros),AUBIN,11,0.4415094339622641
PARIS (intramuros),AUBIN,12,0.4442857142857143
PARIS (intramuros),AUBIN,13,0.4326923076923077
