origine,destination,delta_days,proba_open
BAYONNE,LES AUBRAIS ORLEANS,0,0.4875
BAYONNE,LES AUBRAIS ORLEANS,1,0.475
BAYONNE,LES AUBRAIS ORLEANS,2,0.5
BAYONNE,LES AUBRAIS ORLEANS,3,0.5
BAYONNE,LES AUBRAIS ORLEANS,4,0.09999999999999999
BAYONNE,LES AUBRAIS ORLEANS,5,0.1875
BAYONNE,LES AUBRAIS ORLEANS,6,0.0
BAYONNE,LES AUBRAIS ORLEANS,7,0.0
BAYONNE,LES AUBRAIS ORLEANS,8,0.0
BAYONNE,LES AUBRAIS ORLEANS,9,0.1375
BAYONNE,LES AUBRAIS ORLEANS,10,0.025
BAYONNE,LES AUBRAIS ORLEANS,11,0.225
BAYONNE,LES AUBRAIS ORLEANS,12,0.25
BAYONNE,LES AUBRAIS ORLEANS,13,0.25
BAYONNE,LES AUBRAIS ORLEANS,14,0.25
BAYONNE,LES AUBRAIS ORLEANS,15,0.25
BAYONNE,LES AUBRAIS ORLEANS,16,0.275
BAYONNE,LES AUBRAIS ORLEANS,17,0.4875
BAYONNE,LES AUBRAIS ORLEANS,18,0.4875
BAYONNE,LES AUBRAIS ORLEANS,19,0.3375
BAYONNE,LES AUBRAIS ORLEANS,20,0.325
BAYONNE,LES AUBRAIS ORLEANS,21,0.375
BAYONNE,LES AUBRAIS ORLEANS,22,0.35
BAYONNE,LES AUBRAIS ORLEANS,23,0.45
BAYONNE,LES AUBRAIS ORLEANS,24,0.4625
BAYONNE,LES AUBRAIS ORLEANS,25,0.4875
BAYONNE,LES AUBRAIS ORLEANS,26,0.5
BAYONNE,LES AUBRAIS ORLEANS,27,0.5
BAYONNE,LES AUBRAIS ORLEANS,28,0.5
BAYONNE,LES AUBRAIS ORLEANS,29,0.3333333333333333
BAYONNE,LES AUBRAIS ORLEANS,30,0.11666666666666665
BAYONNE,PARIS (intramuros),0,0.5
BAYONNE,PARIS (intramuros),1,0.5
BAYONNE,PARIS (intramuros),2,0.4875
BAYONNE,PARIS (intramuros),3,0.5
BAYONNE,PARIS (intramuros),4,0.1625
BAYONNE,PARIS (intramuros),5,0.2125
BAYONNE,PARIS (intramuros),6,0.0125
BAYONNE,PARIS (intramuros),7,0.0
BAYONNE,PARIS (intramuros),8,0.05
BAYONNE,PARIS (intramuros),9,0.2
BAYONNE,PARIS (intramuros),10,0.0875
BAYONNE,PARIS (intramuros),11,0.2375
BAYONNE,PARIS (intramuros),12,0.25
BAYONNE,PARIS (intramuros),13,0.25
BAYONNE,PARIS (intramuros),14,0.25
BAYONNE,PARIS (intramuros),15,0.25
BAYONNE,PARIS (intramuros),16,0.25
BAYONNE,PARIS (intramuros),17,0.475
BAYONNE,PARIS (intramuros),18,0.44999999999999996
BAYONNE,PARIS (intramuros),19,0.3
BAYONNE,PARIS (intramuros),20,0.2875
BAYONNE,PARIS (intramuros),21,0.4
BAYONNE,PARIS (intramuros),22,0.275
BAYONNE,PARIS (intramuros),23,0.5
BAYONNE,PARIS (intramuros),24,0.5
BAYONNE,PARIS (intramuros),25,0.5
BAYONNE,PARIS (intramuros),26,0.5
BAYONNE,PARIS (intramuros),27,0.5
BAYONNE,PARIS (intramuros),28,0.5
BAYONNE,PARIS (intramuros),29,0.31666666666666665
BAYONNE,PARIS (intramuros),30,0.11666666666666665
BIGANOS FACTURE,LES AUBRAIS ORLEANS,1,0.4625
BIGANOS FACTURE,LES AUBRAIS ORLEANS,2,0.48750000000000004
BIGANOS FACTURE,LES AUBRAIS ORLEANS,3,0.475
BIGANOS FACTURE,LES AUBRAIS ORLEANS,4,0.425
BIGANOS FACTURE,LES AUBRAIS ORLEANS,5,0.15
BIGANOS FACTURE,LES AUBRAIS ORLEANS,6,0.2
BIGANOS FACTURE,LES AUBRAIS ORLEANS,7,0.0875
BIGANOS FACTURE,LES AUBRAIS ORLEANS,8,0.0375
BIGANOS FACTURE,LES AUBRAIS ORLEANS,9,0.0125
BIGANOS FACTURE,LES AUBRAIS ORLEANS,10,0.2125
BIGANOS FACTURE,LES AUBRAIS ORLEANS,11,0.07500000000000001
BIGANOS FACTURE,LES AUBRAIS ORLEANS,12,0.2
BIGANOS FACTURE,LES AUBRAIS ORLEANS,13,0.25
BIGANOS FACTURE,LES AUBRAIS ORLEANS,14,0.25
BIGANOS FACTURE,LES AUBRAIS ORLEANS,15,0.25
BIGANOS FACTURE,LES AUBRAIS ORLEANS,16,0.25
BIGANOS FACTURE,LES AUBRAIS ORLEANS,17,0.3125
BIGANOS FACTURE,LES AUBRAIS ORLEANS,18,0.45
BIGANOS FACTURE,LES AUBRAIS ORLEANS,19,0.45
BIGANOS FACTURE,LES AUBRAIS ORLEANS,20,0.2875
BIGANOS FACTURE,LES AUBRAIS ORLEANS,21,0.2875
BIGANOS FACTURE,LES AUBRAIS ORLEANS,22,0.425
BIGANOS FACTURE,LES AUBRAIS ORLEANS,23,0.3
BIGANOS FACTURE,LES AUBRAIS ORLEANS,24,0.44999999999999996
BIGANOS FACTURE,LES AUBRAIS ORLEANS,25,0.5125
BIGANOS FACTURE,LES AUBRAIS ORLEANS,26,0.525
BIGANOS FACTURE,LES AUBRAIS ORLEANS,27,0.5
BIGANOS FACTURE,LES AUBRAIS ORLEANS,28,0.5
BIGANOS FACTURE,LES AUBRAIS ORLEANS,29,0.5
BIGANOS FACTURE,LES AUBRAIS ORLEANS,30,0.31666666666666665
BIGANOS FACTURE,PARIS (intramuros),1,0.4875
BIGANOS FACTURE,PARIS (intramuros),2,0.5125
BIGANOS FACTURE,PARIS (intramuros),3,0.4875
BIGANOS FACTURE,PARIS (intramuros),4,0.4375
BIGANOS FACTURE,PARIS (intramuros),5,0.1375
BIGANOS FACTURE,PARIS (intramuros),6,0.17500000000000002
BIGANOS FACTURE,PARIS (intramuros),7,0.025
BIGANOS FACTURE,PARIS (intramuros),8,0.0
BIGANOS FACTURE,PARIS (intramuros),9,0.025
BIGANOS FACTURE,PARIS (intramuros),10,0.175
BIGANOS FACTURE,PARIS (intramuros),11,0.075
BIGANOS FACTURE,PARIS (intramuros),12,0.17500000000000002
BIGANOS FACTURE,PARIS (intramuros),13,0.25
BIGANOS FACTURE,PARIS (intramuros),14,0.25
BIGANOS FACTURE,PARIS (intramuros),15,0.2625
BIGANOS FACTURE,PARIS (intramuros),16,0.25
BIGANOS FACTURE,PARIS (intramuros),17,0.2875
BIGANOS FACTURE,PARIS (intramuros),18,0.4125
BIGANOS FACTURE,PARIS (intramuros),19,0.475
BIGANOS FACTURE,PARIS (intramuros),20,0.2875
BIGANOS FACTURE,PARIS (intramuros),21,0.2875
BIGANOS FACTURE,PARIS (intramuros),22,0.4375
BIGANOS FACTURE,PARIS (intramuros),23,0.325
BIGANOS FACTURE,PARIS (intramuros),24,0.45
BIGANOS FACTURE,PARIS (intramuros),25,0.4625
BIGANOS FACTURE,PARIS (intramuros),26,0.4625
BIGANOS FACTURE,PARIS (intramuros),27,0.475
BIGANOS FACTURE,PARIS (intramuros),28,0.4875
BIGANOS FACTURE,PARIS (intramuros),29,0.4875
BIGANOS FACTURE,PARIS (intramuros),30,0.2833333333333333
LES AUBRAIS ORLEANS,BAYONNE,0,0.8601626016260162
LES AUBRAIS ORLEANS,BAYONNE,1,0.8463709677419355
LES AUBRAIS ORLEANS,BAYONNE,2,0.8236
LES AUBRAIS ORLEANS,BAYONNE,3,0.8043650793650793
LES AUBRAIS ORLEANS,BAYONNE,4,0.639763779527559
LES AUBRAIS ORLEANS,BAYONNE,5,0.648046875
LES AUBRAIS ORLEANS,BAYONNE,6,0.658984375
LES AUBRAIS ORLEANS,BAYONNE,7,0.657421875
LES AUBRAIS ORLEANS,BAYONNE,8,0.633984375
LES AUBRAIS ORLEANS,BAYONNE,9,0.61953125
LES AUBRAIS ORLEANS,BAYONNE,10,0.6174418604651163
LES AUBRAIS ORLEANS,BAYONNE,11,0.6259541984732825
LES AUBRAIS ORLEANS,BAYONNE,12,0.4162878787878788
LES AUBRAIS ORLEANS,BAYONNE,13,0.4329545454545454
LES AUBRAIS ORLEANS,BAYONNE,14,0.42803030303030304
LES AUBRAIS ORLEANS,BAYONNE,15,0.42272727272727273
LES AUBRAIS ORLEANS,BAYONNE,16,0.41603053435114506
LES AUBRAIS ORLEANS,BAYONNE,17,0.42290076335877863
LES AUBRAIS ORLEANS,BAYONNE,18,0.43244274809160305
LES AUBRAIS ORLEANS,BAYONNE,19,0.43740458015267175
LES AUBRAIS ORLEANS,BAYONNE,20,0.4389312977099237
LES AUBRAIS ORLEANS,BAYONNE,21,0.4404580152671756
LES AUBRAIS ORLEANS,BAYONNE,22,0.44580152671755724
LES AUBRAIS ORLEANS,BAYONNE,23,0.44269230769230766
LES AUBRAIS ORLEANS,BAYONNE,24,0.4603846153846154
LES AUBRAIS ORLEANS,BAYONNE,25,0.47945736434108527
LES AUBRAIS ORLEANS,BAYONNE,26,0.494140625
LES AUBRAIS ORLEANS,BAYONNE,27,0.50748031496063
LES AUBRAIS ORLEANS,BAYONNE,28,0.5153543307086614
LES AUBRAIS ORLEANS,BAYONNE,29,0.5238095238095238
LES AUBRAIS ORLEANS,BAYONNE,30,0.0512
LES AUBRAIS ORLEANS,BIGANOS FACTURE,0,0.8496
LES AUBRAIS ORLEANS,BIGANOS FACTURE,1,0.834920634920635
LES AUBRAIS ORLEANS,BIGANOS FACTURE,2,0.8177165354330708
LES AUBRAIS ORLEANS,BIGANOS FACTURE,3,0.8015625
LES AUBRAIS ORLEANS,BIGANOS FACTURE,4,0.6410852713178294
LES AUBRAIS ORLEANS,BIGANOS FACTURE,5,0.6503846153846153
LES AUBRAIS ORLEANS,BIGANOS FACTURE,6,0.6553846153846155
LES AUBRAIS ORLEANS,BIGANOS FACTURE,7,0.6507692307692308
LES AUBRAIS ORLEANS,BIGANOS FACTURE,8,0.6288461538461538
LES AUBRAIS ORLEANS,BIGANOS FACTURE,9,0.6173076923076923
LES AUBRAIS ORLEANS,BIGANOS FACTURE,10,0.6114503816793893
LES AUBRAIS ORLEANS,BIGANOS FACTURE,11,0.6229323308270677
LES AUBRAIS ORLEANS,BIGANOS FACTURE,12,0.412781954887218
LES AUBRAIS ORLEANS,BIGANOS FACTURE,13,0.42631578947368426
LES AUBRAIS ORLEANS,BIGANOS FACTURE,14,0.4281954887218045
LES AUBRAIS ORLEANS,BIGANOS FACTURE,15,0.41691729323308274
LES AUBRAIS ORLEANS,BIGANOS FACTURE,16,0.4159090909090909
LES AUBRAIS ORLEANS,BIGANOS FACTURE,17,0.4200757575757576
LES AUBRAIS ORLEANS,BIGANOS FACTURE,18,0.43106060606060603
LES AUBRAIS ORLEANS,BIGANOS FACTURE,19,0.4404580152671756
LES AUBRAIS ORLEANS,BIGANOS FACTURE,20,0.4351145038167939
