origine,destination,delta_days,proba_open
AGEN,MONTAUBAN VILLE BOURBON,0,0.9795673076923077
AGEN,MONTAUBAN VILLE BOURBON,1,0.9814009661835749
AGEN,MONTAUBAN VILLE BOURBON,2,0.978640776699029
AGEN,MONTAUBAN VILLE BOURBON,3,0.9580097087378641
AGEN,MONTAUBAN VILLE BOURBON,4,0.9033980582524271
AGEN,MONTAUBAN VILLE BOURBON,5,0.8701456310679612
AGEN,MONTAUBAN VILLE BOURBON,6,0.8366504854368931
AGEN,MONTAUBAN VILLE BOURBON,7,0.8102439024390243
AGEN,MONTAUBAN VILLE BOURBON,8,0.7808823529411765
AGEN,MONTAUBAN VILLE BOURBON,9,0.7588669950738917
AGEN,MONTAUBAN VILLE BOURBON,10,0.7408415841584158
AGEN,MONTAUBAN VILLE BOURBON,11,0.706930693069307
AGEN,MONTAUBAN VILLE BOURBON,12,0.6353960396039604
AGEN,MONTAUBAN VILLE BOURBON,13,0.6066831683168317
AGEN,MONTAUBAN VILLE BOURBON,14,0.5789603960396039
AGEN,MONTAUBAN VILLE BOURBON,15,0.5626865671641791
AGEN,MONTAUBAN VILLE BOURBON,16,0.53
AGEN,MONTAUBAN VILLE BOURBON,17,0.50775
AGEN,MONTAUBAN VILLE BOURBON,18,0.49648241206030147
AGEN,MONTAUBAN VILLE BOURBON,19,0.47462311557788944
AGEN,MONTAUBAN VILLE BOURBON,20,0.4663316582914573
AGEN,MONTAUBAN VILLE BOURBON,21,0.44191919191919193
AGEN,MONTAUBAN VILLE BOURBON,22,0.44086294416243654
AGEN,MONTAUBAN VILLE BOURBON,23,0.43494897959183676
AGEN,MONTAUBAN VILLE BOURBON,24,0.4359693877551021
AGEN,MONTAUBAN VILLE BOURBON,25,0.43265306122448977
AGEN,MONTAUBAN VILLE BOURBON,26,0.43163265306122445
AGEN,MONTAUBAN VILLE BOURBON,27,0.4176020408163265
AGEN,MONTAUBAN VILLE BOURBON,28,0.4105128205128205
AGEN,MONTAUBAN VILLE BOURBON,29,0.3907216494845361
AGEN,MONTAUBAN VILLE BOURBON,30,0.04507772020725388
AGEN,TOULOUSE MATABIAU,0,0.9880281690140844
AGEN,TOULOUSE MATABIAU,1,0.9908018867924528
AGEN,TOULOUSE MATABIAU,2,0.9834123222748815
AGEN,TOULOUSE MATABIAU,3,0.9613744075829384
AGEN,TOULOUSE MATABIAU,4,0.9165876777251185
AGEN,TOULOUSE MATABIAU,5,0.9016587677725119
AGEN,TOULOUSE MATABIAU,6,0.8909952606635071
AGEN,TOULOUSE MATABIAU,7,0.876303317535545
AGEN,TOULOUSE MATABIAU,8,0.858095238095238
AGEN,TOULOUSE MATABIAU,9,0.8399521531100479
