origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,0,1.0
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,1,0.6833333333333332
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,2,0.6833333333333332
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,3,0.6833333333333332
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,4,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,5,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,6,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,7,0.65
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,8,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,9,0.65
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,10,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,11,0.6333333333333333
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,12,0.4166666666666667
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,13,0.35000000000000003
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,14,0.6166666666666667
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,15,0.6333333333333333
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,16,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,17,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,18,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,19,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,20,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,21,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,22,0.5499999999999999
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,23,0.4666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,24,0.6
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,25,0.6666666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,26,0.9166666666666666
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,27,0.9666666666666667
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,28,0.9
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,29,0.7000000000000001
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,30,0.05000000000000001
AIX EN PROVENCE TGV,AVIGNON TGV,0,0.9978773584905661
