origine,destination,delta_days,proba_open
ALBI MADELEINE,PARIS (intramuros),0,0.21999999999999997
ALBI MADELEINE,PARIS (intramuros),1,0.23000000000000004
ALBI MADELEINE,PARIS (intramuros),2,0.27749999999999997
ALBI MADELEINE,PARIS (intramuros),3,0.2625
ALBI MADELEINE,PARIS (intramuros),4,0.225
ALBI MADELEINE,PARIS (intramuros),5,0.2975
ALBI MADELEINE,PARIS (intramuros),6,0.3325
ALBI MADELEINE,PARIS (intramuros),7,0.1675
ALBI MADELEINE,PARIS (intramuros),8,0.1275
ALBI MADELEINE,PARIS (intramuros),9,0.14250000000000002
ALBI MADELEINE,PARIS (intramuros),10,0.12631578947368421
ALBI MADELEINE,PARIS (intramuros),11,0.14473684210526316
ALBI MADELEINE,PARIS (intramuros),12,0.2394736842105263
ALBI MADELEINE,PARIS (intramuros),13,0.21052631578947367
ALBI MADELEINE,PARIS (intramuros),14,0.20789473684210527
ALBI MADELEINE,PARIS (intramuros),15,0.20789473684210527
ALBI MADELEINE,PARIS (intramuros),16,0.20789473684210527
ALBI MADELEINE,PARIS (intramuros),17,0.21052631578947367
ALBI MADELEINE,PARIS (intramuros),18,0.20789473684210527
ALBI MADELEINE,PARIS (intramuros),19,0.20526315789473684
ALBI MADELEINE,PARIS (intramuros),20,0.16842105263157894
ALBI MADELEINE,PARIS (intramuros),21,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),22,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),23,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),24,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),25,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),26,0.15789473684210525
ALBI MADELEINE,PARIS (intramuros),27,0.10789473684210525
ALBI MADELEINE,PARIS (intramuros),28,0.10526315789473684
ALBI MADELEINE,PARIS (intramuros),29,0.10263157894736842
ALBI MADELEINE,PARIS (intramuros),30,0.018421052631578946
ALBI VILLE,PARIS (intramuros),0,0.21000000000000002
ALBI VILLE,PARIS (intramuros),1,0.22000000000000003
ALBI VILLE,PARIS (intramuros),2,0.2725
ALBI VILLE,PARIS (intramuros),3,0.255
ALBI VILLE,PARIS (intramuros),4,0.22749999999999998
ALBI VILLE,PARIS (intramuros),5,0.2825
ALBI VILLE,PARIS (intramuros),6,0.345
ALBI VILLE,PARIS (intramuros),7,0.16499999999999998
ALBI VILLE,PARIS (intramuros),8,0.12
ALBI VILLE,PARIS (intramuros),9,0.1325
ALBI VILLE,PARIS (intramuros),10,0.13421052631578947
ALBI VILLE,PARIS (intramuros),11,0.15526315789473685
ALBI VILLE,PARIS (intramuros),12,0.2473684210526316
ALBI VILLE,PARIS (intramuros),13,0.21842105263157896
ALBI VILLE,PARIS (intramuros),14,0.21052631578947367
ALBI VILLE,PARIS (intramuros),15,0.21052631578947367
ALBI VILLE,PARIS (intramuros),16,0.21052631578947367
ALBI VILLE,PARIS (intramuros),17,0.21052631578947367
ALBI VILLE,PARIS (intramuros),18,0.21052631578947367
ALBI VILLE,PARIS (intramuros),19,0.20526315789473684
ALBI VILLE,PARIS (intramuros),20,0.1631578947368421
ALBI VILLE,PARIS (intramuros),21,0.15789473684210525
ALBI VILLE,PARIS (intramuros),22,0.15789473684210525
ALBI VILLE,PARIS (intramuros),23,0.16052631578947368
ALBI VILLE,PARIS (intramuros),24,0.15789473684210525
ALBI VILLE,PARIS (intramuros),25,0.15789473684210525
ALBI VILLE,PARIS (intramuros),26,0.15526315789473685
ALBI VILLE,PARIS (intramuros),27,0.10526315789473684
ALBI VILLE,PARIS (intramuros),28,0.09999999999999999
ALBI VILLE,PARIS (intramuros),29,0.09999999999999999
ALBI VILLE,PARIS (intramuros),30,0.021052631578947368
ASSIER,PARIS (intramuros),0,0.6082142857142857
ASSIER,PARIS (intramuros),1,0.49680851063829784
ASSIER,PARIS (intramuros),2,0.49822695035460995
ASSIER,PARIS (intramuros),3,0.49893617021276593
ASSIER,PARIS (intramuros),4,0.3453900709219858
ASSIER,PARIS (intramuros),5,0.3393617021276596
ASSIER,PARIS (intramuros),6,0.35851063829787233
ASSIER,PARIS (intramuros),7,0.36312056737588655
ASSIER,PARIS (intramuros),8,0.35602836879432626
ASSIER,PARIS (intramuros),9,0.3400709219858156
ASSIER,PARIS (intramuros),10,0.3549645390070922
ASSIER,PARIS (intramuros),11,0.36107142857142854
ASSIER,PARIS (intramuros),12,0.3646428571428571
ASSIER,PARIS (intramuros),13,0.36928571428571433
ASSIER,PARIS (intramuros),14,0.3775
ASSIER,PARIS (intramuros),15,0.3710714285714286
ASSIER,PARIS (intramuros),16,0.36678571428571427
ASSIER,PARIS (intramuros),17,0.37464285714285717
ASSIER,PARIS (intramuros),18,0.3732142857142857
ASSIER,PARIS (intramuros),19,0.3646428571428571
ASSIER,PARIS (intramuros),20,0.35964285714285715
ASSIER,PARIS (intramuros),21,0.3542857142857143
ASSIER,PARIS (intramuros),22,0.3489285714285714
ASSIER,PARIS (intramuros),23,0.3489285714285714
ASSIER,PARIS (intramuros),24,0.34857142857142853
ASSIER,PARIS (intramuros),25,0.3432142857142857
ASSIER,PARIS (intramuros),26,0.3357142857142857
ASSIER,PARIS (intramuros),27,0.32071428571428573
ASSIER,PARIS (intramuros),28,0.3210714285714286
ASSIER,PARIS (intramuros),29,0.3053571428571429
ASSIER,PARIS (intramuros),30,0.07285714285714286
AUBIN,PARIS (intramuros),0,0.5587500000000001
AUBIN,PARIS (intramuros),1,0.4531055900621118
AUBIN,PARIS (intramuros),2,0.46024844720496894
AUBIN,PARIS (intramuros),3,0.45652173913043476
AUBIN,PARIS (intramuros),4,0.2922360248447205
AUBIN,PARIS (intramuros),5,0.3077639751552795
AUBIN,PARIS (intramuros),6,0.3232919254658385
AUBIN,PARIS (intramuros),7,0.30434782608695654
AUBIN,PARIS (intramuros),8,0.3077639751552795
AUBIN,PARIS (intramuros),9,0.30372670807453417
AUBIN,PARIS (intramuros),10,0.3134375
AUBIN,PARIS (intramuros),11,0.3188679245283019
AUBIN,PARIS (intramuros),12,0.32767295597484275
AUBIN,PARIS (intramuros),13,0.3223270440251572
AUBIN,PARIS (intramuros),14,0.329874213836478
AUBIN,PARIS (intramuros),15,0.32861635220125784
AUBIN,PARIS (intramuros),16,0.32264150943396225
AUBIN,PARIS (intramuros),17,0.33176100628930816
AUBIN,PARIS (intramuros),18,0.33081761006289306
AUBIN,PARIS (intramuros),19,0.3210691823899371
AUBIN,PARIS (intramuros),20,0.3150943396226415
AUBIN,PARIS (intramuros),21,0.3113207547169811
AUBIN,PARIS (intramuros),22,0.31163522012578615
AUBIN,PARIS (intramuros),23,0.31069182389937106
AUBIN,PARIS (intramuros),24,0.3069182389937107
AUBIN,PARIS (intramuros),25,0.3022012578616352
AUBIN,PARIS (intramuros),26,0.29968553459119496
AUBIN,PARIS (intramuros),27,0.27955974842767295
AUBIN,PARIS (intramuros),28,0.28176100628930817
AUBIN,PARIS (intramuros),29,0.26855345911949685
AUBIN,PARIS (intramuros),30,0.052531645569620256
CAPDENAC,PARIS (intramuros),0,0.556875
CAPDENAC,PARIS (intramuros),1,0.4493788819875776
CAPDENAC,PARIS (intramuros),2,0.4583850931677018
CAPDENAC,PARIS (intramuros),3,0.45900621118012425
CAPDENAC,PARIS (intramuros),4,0.2987577639751553
CAPDENAC,PARIS (intramuros),5,0.3055900621118013
CAPDENAC,PARIS (intramuros),6,0.3198757763975155
CAPDENAC,PARIS (intramuros),7,0.29751552795031055
CAPDENAC,PARIS (intramuros),8,0.30838509316770185
CAPDENAC,PARIS (intramuros),9,0.3065217391304348
CAPDENAC,PARIS (intramuros),10,0.3134375
CAPDENAC,PARIS (intramuros),11,0.320125786163522
CAPDENAC,PARIS (intramuros),12,0.33176100628930816
CAPDENAC,PARIS (intramuros),13,0.3223270440251572
CAPDENAC,PARIS (intramuros),14,0.32861635220125784
CAPDENAC,PARIS (intramuros),15,0.32484276729559747
CAPDENAC,PARIS (intramuros),16,0.32169811320754715
CAPDENAC,PARIS (intramuros),17,0.330188679245283
CAPDENAC,PARIS (intramuros),18,0.32955974842767294
CAPDENAC,PARIS (intramuros),19,0.3229559748427673
CAPDENAC,PARIS (intramuros),20,0.31383647798742137
CAPDENAC,PARIS (intramuros),21,0.3069182389937107
CAPDENAC,PARIS (intramuros),22,0.3059748427672956
CAPDENAC,PARIS (intramuros),23,0.3072327044025157
