origine,destination,delta_days,proba_open
BAR LE DUC,CHALONS EN CHAMPAGNE,0,0.9972772277227723
BAR LE DUC,CHALONS EN CHAMPAGNE,1,0.9977832512315271
BAR LE DUC,CHALONS EN CHAMPAGNE,2,0.9909756097560976
BAR LE DUC,CHALONS EN CHAMPAGNE,3,0.9900485436893204
BAR LE DUC,CHALONS EN CHAMPAGNE,4,0.9895121951219512
BAR LE DUC,CHALONS EN CHAMPAGNE,5,0.9895121951219512
BAR LE DUC,CHALONS EN CHAMPAGNE,6,0.9870731707317073
BAR LE DUC,CHALONS EN CHAMPAGNE,7,0.9895121951219512
BAR LE DUC,CHALONS EN CHAMPAGNE,8,0.9839024390243902
BAR LE DUC,CHALONS EN CHAMPAGNE,9,0.9807317073170733
BAR LE DUC,CHALONS EN CHAMPAGNE,10,0.978640776699029
BAR LE DUC,CHALONS EN CHAMPAGNE,11,0.9760975609756097
BAR LE DUC,CHALONS EN CHAMPAGNE,12,0.7614634146341464
BAR LE DUC,CHALONS EN CHAMPAGNE,13,0.7560975609756098
BAR LE DUC,CHALONS EN CHAMPAGNE,14,0.7548780487804878
BAR LE DUC,CHALONS EN CHAMPAGNE,15,0.7446341463414634
BAR LE DUC,CHALONS EN CHAMPAGNE,16,0.7414634146341463
BAR LE DUC,CHALONS EN CHAMPAGNE,17,0.7388349514563106
BAR LE DUC,CHALONS EN CHAMPAGNE,18,0.7417073170731708
BAR LE DUC,CHALONS EN CHAMPAGNE,19,0.7465853658536586
BAR LE DUC,CHALONS EN CHAMPAGNE,20,0.7517073170731707
BAR LE DUC,CHALONS EN CHAMPAGNE,21,0.7514634146341463
BAR LE DUC,CHALONS EN CHAMPAGNE,22,0.751219512195122
BAR LE DUC,CHALONS EN CHAMPAGNE,23,0.751219512195122
BAR LE DUC,CHALONS EN CHAMPAGNE,24,0.7473170731707317
BAR LE DUC,CHALONS EN CHAMPAGNE,25,0.7519607843137255
BAR LE DUC,CHALONS EN CHAMPAGNE,26,0.7576354679802956
BAR LE DUC,CHALONS EN CHAMPAGNE,27,0.7618811881188119
BAR LE DUC,CHALONS EN CHAMPAGNE,28,0.7618811881188119
BAR LE DUC,CHALONS EN CHAMPAGNE,29,0.7430693069306931
BAR LE DUC,CHALONS EN CHAMPAGNE,30,0.06318407960199006
BAR LE DUC,CHAMPAGNE ARDENNE TGV,0,1.0
BAR LE DUC,CHAMPAGNE ARDENNE TGV,1,1.0
BAR LE DUC,CHAMPAGNE ARDENNE TGV,2,0.9963414634146341
BAR LE DUC,CHAMPAGNE ARDENNE TGV,3,0.9951456310679612
BAR LE DUC,CHAMPAGNE ARDENNE TGV,4,0.9951219512195122
BAR LE DUC,CHAMPAGNE ARDENNE TGV,5,0.9948780487804878
BAR LE DUC,CHAMPAGNE ARDENNE TGV,6,0.994390243902439
BAR LE DUC,CHAMPAGNE ARDENNE TGV,7,0.9912195121951219
BAR LE DUC,CHAMPAGNE ARDENNE TGV,8,0.99
BAR LE DUC,CHAMPAGNE ARDENNE TGV,9,0.9895121951219512
BAR LE DUC,CHAMPAGNE ARDENNE TGV,10,0.9881067961165049
BAR LE DUC,CHAMPAGNE ARDENNE TGV,11,0.9836585365853658
BAR LE DUC,CHAMPAGNE ARDENNE TGV,12,0.7568292682926829
BAR LE DUC,CHAMPAGNE ARDENNE TGV,13,0.7539024390243902
BAR LE DUC,CHAMPAGNE ARDENNE TGV,14,0.7509756097560975
BAR LE DUC,CHAMPAGNE ARDENNE TGV,15,0.74
BAR LE DUC,CHAMPAGNE ARDENNE TGV,16,0.7326829268292683
BAR LE DUC,CHAMPAGNE ARDENNE TGV,17,0.7320388349514564
BAR LE DUC,CHAMPAGNE ARDENNE TGV,18,0.7336585365853658
BAR LE DUC,CHAMPAGNE ARDENNE TGV,19,0.7395121951219512
BAR LE DUC,CHAMPAGNE ARDENNE TGV,20,0.7424390243902439
BAR LE DUC,CHAMPAGNE ARDENNE TGV,21,0.7460975609756098
BAR LE DUC,CHAMPAGNE ARDENNE TGV,22,0.7480487804878049
BAR LE DUC,CHAMPAGNE ARDENNE TGV,23,0.744390243902439
BAR LE DUC,CHAMPAGNE ARDENNE TGV,24,0.738048780487805
BAR LE DUC,CHAMPAGNE ARDENNE TGV,25,0.7436274509803921
BAR LE DUC,CHAMPAGNE ARDENNE TGV,26,0.7527093596059113
BAR LE DUC,CHAMPAGNE ARDENNE TGV,27,0.7569306930693069
BAR LE DUC,CHAMPAGNE ARDENNE TGV,28,0.754950495049505
BAR LE DUC,CHAMPAGNE ARDENNE TGV,29,0.7462871287128713
BAR LE DUC,CHAMPAGNE ARDENNE TGV,30,0.046019900497512436
