origine,destination,delta_days,proba_open
AGEN,ANGOULEME,0,0.25681818181818183
AGEN,ANGOULEME,1,0.2545454545454545
AGEN,ANGOULEME,2,0.22790697674418606
AGEN,ANGOULEME,3,0.23333333333333334
AGEN,ANGOULEME,4,0.10853658536585366
AGEN,ANGOULEME,5,0.0875
AGEN,ANGOULEME,6,0.09375
AGEN,ANGOULEME,7,0.08499999999999999
AGEN,ANGOULEME,8,0.125
AGEN,ANGOULEME,9,0.16282051282051282
AGEN,ANGOULEME,10,0.18157894736842106
AGEN,ANGOULEME,11,0.2013157894736842
AGEN,ANGOULEME,12,0.048684210526315795
AGEN,ANGOULEME,13,0.0368421052631579
AGEN,ANGOULEME,14,0.030263157894736846
AGEN,ANGOULEME,15,0.028947368421052635
AGEN,ANGOULEME,16,0.03108108108108108
AGEN,ANGOULEME,17,0.030555555555555558
AGEN,ANGOULEME,18,0.05277777777777778
AGEN,ANGOULEME,19,0.058333333333333334
AGEN,ANGOULEME,20,0.05555555555555555
AGEN,ANGOULEME,21,0.061111111111111116
AGEN,ANGOULEME,22,0.06388888888888888
AGEN,ANGOULEME,23,0.058571428571428566
AGEN,ANGOULEME,24,0.06323529411764706
AGEN,ANGOULEME,25,0.06470588235294118
AGEN,ANGOULEME,26,0.08823529411764706
AGEN,ANGOULEME,27,0.12352941176470589
AGEN,ANGOULEME,28,0.15
AGEN,ANGOULEME,29,0.15882352941176472
AGEN,ANGOULEME,30,0.012121212121212121
AGEN,BORDEAUX ST JEAN,0,0.8723021582733813
AGEN,BORDEAUX ST JEAN,1,0.8687050359712231
AGEN,BORDEAUX ST JEAN,2,0.8550359712230216
AGEN,BORDEAUX ST JEAN,3,0.8428057553956835
AGEN,BORDEAUX ST JEAN,4,0.7798561151079137
AGEN,BORDEAUX ST JEAN,5,0.756115107913669
AGEN,BORDEAUX ST JEAN,6,0.7359712230215827
AGEN,BORDEAUX ST JEAN,7,0.7194244604316546
AGEN,BORDEAUX ST JEAN,8,0.7057553956834532
AGEN,BORDEAUX ST JEAN,9,0.6985611510791366
AGEN,BORDEAUX ST JEAN,10,0.6920863309352518
AGEN,BORDEAUX ST JEAN,11,0.6787769784172661
AGEN,BORDEAUX ST JEAN,12,0.6057553956834533
AGEN,BORDEAUX ST JEAN,13,0.6035971223021583
AGEN,BORDEAUX ST JEAN,14,0.6050359712230216
AGEN,BORDEAUX ST JEAN,15,0.6050359712230216
AGEN,BORDEAUX ST JEAN,16,0.6079136690647482
AGEN,BORDEAUX ST JEAN,17,0.6075539568345324
AGEN,BORDEAUX ST JEAN,18,0.5920289855072464
AGEN,BORDEAUX ST JEAN,19,0.5781021897810219
AGEN,BORDEAUX ST JEAN,20,0.5602941176470588
AGEN,BORDEAUX ST JEAN,21,0.5393382352941176
AGEN,BORDEAUX ST JEAN,22,0.5172794117647058
AGEN,BORDEAUX ST JEAN,23,0.5099264705882353
AGEN,BORDEAUX ST JEAN,24,0.506985294117647
AGEN,BORDEAUX ST JEAN,25,0.497037037037037
AGEN,BORDEAUX ST JEAN,26,0.4832089552238806
AGEN,BORDEAUX ST JEAN,27,0.4778195488721804
AGEN,BORDEAUX ST JEAN,28,0.4823308270676692
AGEN,BORDEAUX ST JEAN,29,0.4823308270676692
AGEN,BORDEAUX ST JEAN,30,0.02234848484848485
AGEN,MASSY TGV,0,0.15517241379310345
AGEN,MASSY TGV,1,0.13421052631578947
AGEN,MASSY TGV,2,0.11428571428571428
AGEN,MASSY TGV,3,0.13214285714285715
AGEN,MASSY TGV,4,0.08125
AGEN,MASSY TGV,5,0.08035714285714286
AGEN,MASSY TGV,6,0.08750000000000001
AGEN,MASSY TGV,7,0.08928571428571429
AGEN,MASSY TGV,8,0.08181818181818182
AGEN,MASSY TGV,9,0.1037037037037037
AGEN,MASSY TGV,10,0.11203703703703703
AGEN,MASSY TGV,11,0.11018518518518519
AGEN,MASSY TGV,12,0.0712962962962963
AGEN,MASSY TGV,13,0.07314814814814816
AGEN,MASSY TGV,14,0.09537037037037038
AGEN,MASSY TGV,15,0.11415094339622642
AGEN,MASSY TGV,16,0.12884615384615386
AGEN,MASSY TGV,17,0.13529411764705884
AGEN,MASSY TGV,18,0.13137254901960785
AGEN,MASSY TGV,19,0.1196078431372549
AGEN,MASSY TGV,20,0.11764705882352941
AGEN,MASSY TGV,21,0.1196078431372549
AGEN,MASSY TGV,22,0.121
AGEN,MASSY TGV,23,0.1489795918367347
AGEN,MASSY TGV,24,0.16382978723404257
AGEN,MASSY TGV,25,0.15531914893617021
AGEN,MASSY TGV,26,0.15212765957446808
AGEN,MASSY TGV,27,0.16063829787234044
AGEN,MASSY TGV,28,0.17127659574468088
AGEN,MASSY TGV,29,0.16630434782608694
AGEN,MASSY TGV,30,0.03977272727272727
