origine,destination,delta_days,proba_open
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,0,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,1,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,2,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,3,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,4,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,5,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,6,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,7,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,8,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,9,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,10,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,11,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,12,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,13,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,14,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,15,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,16,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,17,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,18,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,19,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,20,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,21,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,22,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,23,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,24,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,25,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,26,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,27,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,28,1.0
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,29,0.8833333333333333
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,30,0.3
DIJON VILLE,PARIS (intramuros),0,0.636144578313253
DIJON VILLE,PARIS (intramuros),1,0.6325301204819277
DIJON VILLE,PARIS (intramuros),2,0.6355421686746988
DIJON VILLE,PARIS (intramuros),3,0.4756024096385542
DIJON VILLE,PARIS (intramuros),4,0.4753012048192771
DIJON VILLE,PARIS (intramuros),5,0.46716867469879514
DIJON VILLE,PARIS (intramuros),6,0.476060606060606
DIJON VILLE,PARIS (intramuros),7,0.47865853658536583
DIJON VILLE,PARIS (intramuros),8,0.4801829268292683
DIJON VILLE,PARIS (intramuros),9,0.47975460122699387
DIJON VILLE,PARIS (intramuros),10,0.4874233128834356
DIJON VILLE,PARIS (intramuros),11,0.48251533742331293
DIJON VILLE,PARIS (intramuros),12,0.4737804878048781
DIJON VILLE,PARIS (intramuros),13,0.45701219512195124
DIJON VILLE,PARIS (intramuros),14,0.44298780487804884
DIJON VILLE,PARIS (intramuros),15,0.2675757575757576
DIJON VILLE,PARIS (intramuros),16,0.2704268292682927
DIJON VILLE,PARIS (intramuros),17,0.27121212121212124
DIJON VILLE,PARIS (intramuros),18,0.273030303030303
DIJON VILLE,PARIS (intramuros),19,0.2813253012048193
DIJON VILLE,PARIS (intramuros),20,0.2891566265060241
DIJON VILLE,PARIS (intramuros),21,0.30632530120481927
DIJON VILLE,PARIS (intramuros),22,0.31257485029940124
DIJON VILLE,PARIS (intramuros),23,0.32289156626506027
DIJON VILLE,PARIS (intramuros),24,0.3394578313253012
DIJON VILLE,PARIS (intramuros),25,0.35481927710843375
DIJON VILLE,PARIS (intramuros),26,0.3753012048192771
DIJON VILLE,PARIS (intramuros),27,0.39246987951807233
DIJON VILLE,PARIS (intramuros),28,0.4119760479041916
DIJON VILLE,PARIS (intramuros),29,0.4012048192771084
DIJON VILLE,PARIS (intramuros),30,0.1036144578313253
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,0,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,1,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,2,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,3,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,4,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,5,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,6,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,7,1.0
DOLE VILLE,AEROPORT ROISSY CDG 2 TGV,8,1.0
