origine,destination,delta_days,proba_open
BAYONNE,LES AUBRAIS ORLEANS,0,0.8837962962962963
BAYONNE,LES AUBRAIS ORLEANS,1,0.8689814814814815
BAYONNE,LES AUBRAIS ORLEANS,2,0.8333333333333334
BAYONNE,LES AUBRAIS ORLEANS,3,0.8212962962962963
BAYONNE,LES AUBRAIS ORLEANS,4,0.7415887850467289
BAYONNE,LES AUBRAIS ORLEANS,5,0.7401869158878505
BAYONNE,LES AUBRAIS ORLEANS,6,0.6953271028037383
BAYONNE,LES AUBRAIS ORLEANS,7,0.6425233644859814
BAYONNE,LES AUBRAIS ORLEANS,8,0.6712962962962963
BAYONNE,LES AUBRAIS ORLEANS,9,0.6908256880733945
BAYONNE,LES AUBRAIS ORLEANS,10,0.7159090909090909
BAYONNE,LES AUBRAIS ORLEANS,11,0.7176991150442478
BAYONNE,LES AUBRAIS ORLEANS,12,0.6163716814159292
BAYONNE,LES AUBRAIS ORLEANS,13,0.6106194690265486
BAYONNE,LES AUBRAIS ORLEANS,14,0.6424107142857143
BAYONNE,LES AUBRAIS ORLEANS,15,0.6330357142857144
BAYONNE,LES AUBRAIS ORLEANS,16,0.6553571428571429
BAYONNE,LES AUBRAIS ORLEANS,17,0.6589285714285714
BAYONNE,LES AUBRAIS ORLEANS,18,0.6558558558558558
BAYONNE,LES AUBRAIS ORLEANS,19,0.6740909090909092
BAYONNE,LES AUBRAIS ORLEANS,20,0.6849999999999999
BAYONNE,LES AUBRAIS ORLEANS,21,0.6958715596330275
BAYONNE,LES AUBRAIS ORLEANS,22,0.6802752293577983
BAYONNE,LES AUBRAIS ORLEANS,23,0.7114678899082568
BAYONNE,LES AUBRAIS ORLEANS,24,0.7077272727272726
BAYONNE,LES AUBRAIS ORLEANS,25,0.7040909090909091
BAYONNE,LES AUBRAIS ORLEANS,26,0.7412844036697247
BAYONNE,LES AUBRAIS ORLEANS,27,0.7398148148148148
BAYONNE,LES AUBRAIS ORLEANS,28,0.7537037037037038
BAYONNE,LES AUBRAIS ORLEANS,29,0.7657407407407407
BAYONNE,LES AUBRAIS ORLEANS,30,0.0191588785046729
BAYONNE,PARIS (intramuros),0,0.8842592592592593
BAYONNE,PARIS (intramuros),1,0.873611111111111
BAYONNE,PARIS (intramuros),2,0.8277777777777778
BAYONNE,PARIS (intramuros),3,0.8236111111111112
BAYONNE,PARIS (intramuros),4,0.7401869158878505
BAYONNE,PARIS (intramuros),5,0.7411214953271028
BAYONNE,PARIS (intramuros),6,0.7018691588785047
BAYONNE,PARIS (intramuros),7,0.6490654205607477
BAYONNE,PARIS (intramuros),8,0.675
BAYONNE,PARIS (intramuros),9,0.6944954128440367
BAYONNE,PARIS (intramuros),10,0.7177272727272728
BAYONNE,PARIS (intramuros),11,0.7172566371681416
BAYONNE,PARIS (intramuros),12,0.6084070796460177
BAYONNE,PARIS (intramuros),13,0.6123893805309735
BAYONNE,PARIS (intramuros),14,0.6441964285714287
BAYONNE,PARIS (intramuros),15,0.6308035714285715
BAYONNE,PARIS (intramuros),16,0.6522321428571428
BAYONNE,PARIS (intramuros),17,0.6571428571428571
BAYONNE,PARIS (intramuros),18,0.654054054054054
BAYONNE,PARIS (intramuros),19,0.6745454545454546
BAYONNE,PARIS (intramuros),20,0.6863636363636364
BAYONNE,PARIS (intramuros),21,0.7013761467889909
BAYONNE,PARIS (intramuros),22,0.6862385321100917
BAYONNE,PARIS (intramuros),23,0.7110091743119266
BAYONNE,PARIS (intramuros),24,0.7059090909090909
BAYONNE,PARIS (intramuros),25,0.7068181818181818
BAYONNE,PARIS (intramuros),26,0.7435779816513761
BAYONNE,PARIS (intramuros),27,0.7430555555555556
BAYONNE,PARIS (intramuros),28,0.7592592592592593
BAYONNE,PARIS (intramuros),29,0.7689814814814815
BAYONNE,PARIS (intramuros),30,0.02897196261682243
BIGANOS FACTURE,LES AUBRAIS ORLEANS,0,0.8851851851851852
BIGANOS FACTURE,LES AUBRAIS ORLEANS,1,0.8712962962962962
BIGANOS FACTURE,LES AUBRAIS ORLEANS,2,0.8319444444444444
BIGANOS FACTURE,LES AUBRAIS ORLEANS,3,0.8236111111111112
BIGANOS FACTURE,LES AUBRAIS ORLEANS,4,0.7425233644859813
BIGANOS FACTURE,LES AUBRAIS ORLEANS,5,0.7411214953271028
BIGANOS FACTURE,LES AUBRAIS ORLEANS,6,0.702803738317757
BIGANOS FACTURE,LES AUBRAIS ORLEANS,7,0.6457943925233645
BIGANOS FACTURE,LES AUBRAIS ORLEANS,8,0.6731481481481482
BIGANOS FACTURE,LES AUBRAIS ORLEANS,9,0.6954128440366972
BIGANOS FACTURE,LES AUBRAIS ORLEANS,10,0.7227272727272728
BIGANOS FACTURE,LES AUBRAIS ORLEANS,11,0.7212389380530974
BIGANOS FACTURE,LES AUBRAIS ORLEANS,12,0.6150442477876106
BIGANOS FACTURE,LES AUBRAIS ORLEANS,13,0.6079646017699115
BIGANOS FACTURE,LES AUBRAIS ORLEANS,14,0.6450892857142857
BIGANOS FACTURE,LES AUBRAIS ORLEANS,15,0.6325892857142856
BIGANOS FACTURE,LES AUBRAIS ORLEANS,16,0.6508928571428572
BIGANOS FACTURE,LES AUBRAIS ORLEANS,17,0.6558035714285715
BIGANOS FACTURE,LES AUBRAIS ORLEANS,18,0.654054054054054
BIGANOS FACTURE,LES AUBRAIS ORLEANS,19,0.6768181818181819
BIGANOS FACTURE,LES AUBRAIS ORLEANS,20,0.6840909090909091
BIGANOS FACTURE,LES AUBRAIS ORLEANS,21,0.7004587155963302
BIGANOS FACTURE,LES AUBRAIS ORLEANS,22,0.6853211009174313
BIGANOS FACTURE,LES AUBRAIS ORLEANS,23,0.7105504587155964
BIGANOS FACTURE,LES AUBRAIS ORLEANS,24,0.7059090909090909
BIGANOS FACTURE,LES AUBRAIS ORLEANS,25,0.705
BIGANOS FACTURE,LES AUBRAIS ORLEANS,26,0.7412844036697247
BIGANOS FACTURE,LES AUBRAIS ORLEANS,27,0.7425925925925926
BIGANOS FACTURE,LES AUBRAIS ORLEANS,28,0.7564814814814815
BIGANOS FACTURE,LES AUBRAIS ORLEANS,29,0.7662037037037037
BIGANOS FACTURE,LES AUBRAIS ORLEANS,30,0.025233644859813085
