origine,destination,delta_days,proba_open
AGEN,BORDEAUX ST JEAN,0,0.9343283582089552
AGEN,BORDEAUX ST JEAN,1,0.933955223880597
AGEN,BORDEAUX ST JEAN,2,0.9376865671641792
AGEN,BORDEAUX ST JEAN,3,0.9238805970149253
AGEN,BORDEAUX ST JEAN,4,0.9093283582089552
AGEN,BORDEAUX ST JEAN,5,0.930223880597015
AGEN,BORDEAUX ST JEAN,6,0.9291044776119403
AGEN,BORDEAUX ST JEAN,7,0.9259398496240602
AGEN,BORDEAUX ST JEAN,8,0.9308270676691729
AGEN,BORDEAUX ST JEAN,9,0.9353383458646617
AGEN,BORDEAUX ST JEAN,10,0.9263157894736842
AGEN,BORDEAUX ST JEAN,11,0.9257575757575758
AGEN,BORDEAUX ST JEAN,12,0.6950757575757576
AGEN,BORDEAUX ST JEAN,13,0.6878787878787879
AGEN,BORDEAUX ST JEAN,14,0.6749999999999999
AGEN,BORDEAUX ST JEAN,15,0.6818181818181818
AGEN,BORDEAUX ST JEAN,16,0.6829545454545455
AGEN,BORDEAUX ST JEAN,17,0.6909090909090909
AGEN,BORDEAUX ST JEAN,18,0.6977272727272726
AGEN,BORDEAUX ST JEAN,19,0.7034090909090909
AGEN,BORDEAUX ST JEAN,20,0.7064885496183206
AGEN,BORDEAUX ST JEAN,21,0.7000000000000001
AGEN,BORDEAUX ST JEAN,22,0.6755725190839694
AGEN,BORDEAUX ST JEAN,23,0.6812977099236641
AGEN,BORDEAUX ST JEAN,24,0.6862595419847328
AGEN,BORDEAUX ST JEAN,25,0.6915384615384615
AGEN,BORDEAUX ST JEAN,26,0.6911538461538461
AGEN,BORDEAUX ST JEAN,27,0.6844961240310077
AGEN,BORDEAUX ST JEAN,28,0.684375
AGEN,BORDEAUX ST JEAN,29,0.666015625
AGEN,BORDEAUX ST JEAN,30,0.030708661417322838
ARLES,AGEN,0,0.7700787401574803
ARLES,AGEN,1,0.7618110236220472
ARLES,AGEN,2,0.7602362204724409
ARLES,AGEN,3,0.7496062992125985
ARLES,AGEN,4,0.6686507936507936
ARLES,AGEN,5,0.6764
ARLES,AGEN,6,0.6812
ARLES,AGEN,7,0.6544354838709678
ARLES,AGEN,8,0.6620967741935483
ARLES,AGEN,9,0.6745967741935485
ARLES,AGEN,10,0.6995967741935484
ARLES,AGEN,11,0.6959349593495935
ARLES,AGEN,12,0.3778688524590164
ARLES,AGEN,13,0.3648760330578512
ARLES,AGEN,14,0.35708333333333336
ARLES,AGEN,15,0.3621848739495798
ARLES,AGEN,16,0.3652542372881356
ARLES,AGEN,17,0.37564102564102564
ARLES,AGEN,18,0.3793103448275862
ARLES,AGEN,19,0.3826086956521739
ARLES,AGEN,20,0.3877192982456141
ARLES,AGEN,21,0.38805309734513277
ARLES,AGEN,22,0.40486725663716816
ARLES,AGEN,23,0.415929203539823
ARLES,AGEN,24,0.4205357142857143
ARLES,AGEN,25,0.4243243243243243
ARLES,AGEN,26,0.4277272727272727
ARLES,AGEN,27,0.4325688073394495
ARLES,AGEN,28,0.43472222222222223
ARLES,AGEN,29,0.4263888888888889
ARLES,AGEN,30,0.02009345794392523
ARLES,BORDEAUX ST JEAN,0,0.7681102362204724
ARLES,BORDEAUX ST JEAN,1,0.7625984251968504
ARLES,BORDEAUX ST JEAN,2,0.7622047244094488
ARLES,BORDEAUX ST JEAN,3,0.7452755905511812
ARLES,BORDEAUX ST JEAN,4,0.6726190476190477
ARLES,BORDEAUX ST JEAN,5,0.6772
ARLES,BORDEAUX ST JEAN,6,0.6844
