origine,destination,delta_days,proba_open
AGEN,ARLES,0,0.6700404858299596
AGEN,ARLES,1,0.6643145161290323
AGEN,ARLES,2,0.5955465587044534
AGEN,ARLES,3,0.5293522267206477
AGEN,ARLES,4,0.47743902439024394
AGEN,ARLES,5,0.4714285714285714
AGEN,ARLES,6,0.47725409836065574
AGEN,ARLES,7,0.44774590163934425
AGEN,ARLES,8,0.42448559670781894
AGEN,ARLES,9,0.4133744855967078
AGEN,ARLES,10,0.41177685950413223
AGEN,ARLES,11,0.4278925619834711
AGEN,ARLES,12,0.21203319502074688
AGEN,ARLES,13,0.20604166666666668
AGEN,ARLES,14,0.20439330543933054
AGEN,ARLES,15,0.19600840336134454
AGEN,ARLES,16,0.19135021097046415
AGEN,ARLES,17,0.19110169491525425
AGEN,ARLES,18,0.18638297872340423
AGEN,ARLES,19,0.18397435897435896
AGEN,ARLES,20,0.19334763948497852
AGEN,ARLES,21,0.19137931034482758
AGEN,ARLES,22,0.19675324675324676
AGEN,ARLES,23,0.19217391304347828
AGEN,ARLES,24,0.19126637554585152
AGEN,ARLES,25,0.1912280701754386
AGEN,ARLES,26,0.19779735682819383
AGEN,ARLES,27,0.20420353982300884
AGEN,ARLES,28,0.1897777777777778
AGEN,ARLES,29,0.1767857142857143
AGEN,ARLES,30,0.016816143497757848
AGEN,BEZIERS,0,0.8731884057971014
AGEN,BEZIERS,1,0.8672101449275362
AGEN,BEZIERS,2,0.8460144927536232
AGEN,BEZIERS,3,0.8161231884057971
AGEN,BEZIERS,4,0.7385869565217391
AGEN,BEZIERS,5,0.7230072463768117
AGEN,BEZIERS,6,0.7291666666666666
AGEN,BEZIERS,7,0.7181159420289854
AGEN,BEZIERS,8,0.717391304347826
AGEN,BEZIERS,9,0.7232727272727273
AGEN,BEZIERS,10,0.7276363636363636
AGEN,BEZIERS,11,0.7323636363636364
AGEN,BEZIERS,12,0.6036363636363636
AGEN,BEZIERS,13,0.584
AGEN,BEZIERS,14,0.5761818181818181
AGEN,BEZIERS,15,0.58
AGEN,BEZIERS,16,0.5817518248175183
AGEN,BEZIERS,17,0.5880952380952381
AGEN,BEZIERS,18,0.5900735294117647
AGEN,BEZIERS,19,0.5841911764705883
AGEN,BEZIERS,20,0.5881918819188192
AGEN,BEZIERS,21,0.5863468634686347
AGEN,BEZIERS,22,0.5826568265682657
AGEN,BEZIERS,23,0.58
AGEN,BEZIERS,24,0.5856877323420074
AGEN,BEZIERS,25,0.5895910780669145
AGEN,BEZIERS,26,0.5845724907063197
AGEN,BEZIERS,27,0.5912313432835821
AGEN,BEZIERS,28,0.5891385767790263
AGEN,BEZIERS,29,0.5795112781954888
AGEN,BEZIERS,30,0.023018867924528303
AGEN,CARCASSONNE,0,0.871195652173913
AGEN,CARCASSONNE,1,0.8672101449275362
AGEN,CARCASSONNE,2,0.8487318840579711
AGEN,CARCASSONNE,3,0.8166666666666667
AGEN,CARCASSONNE,4,0.7429347826086957
AGEN,CARCASSONNE,5,0.7277173913043478
