origine,destination,delta_days,proba_open
BAYONNE,BIARRITZ,0,0.9291666666666666
BAYONNE,BIARRITZ,1,0.9141176470588236
BAYONNE,BIARRITZ,2,0.9005813953488372
BAYONNE,BIARRITZ,3,0.8798850574712643
BAYONNE,BIARRITZ,4,0.596551724137931
BAYONNE,BIARRITZ,5,0.5574712643678161
BAYONNE,BIARRITZ,6,0.5402298850574713
BAYONNE,BIARRITZ,7,0.5206896551724137
BAYONNE,BIARRITZ,8,0.5045977011494253
BAYONNE,BIARRITZ,9,0.4890804597701149
BAYONNE,BIARRITZ,10,0.4747126436781609
BAYONNE,BIARRITZ,11,0.47126436781609193
BAYONNE,BIARRITZ,12,0.3511494252873563
BAYONNE,BIARRITZ,13,0.36551724137931035
BAYONNE,BIARRITZ,14,0.3425287356321839
BAYONNE,BIARRITZ,15,0.34022988505747126
BAYONNE,BIARRITZ,16,0.3454022988505747
BAYONNE,BIARRITZ,17,0.34367816091954023
BAYONNE,BIARRITZ,18,0.3097701149425287
BAYONNE,BIARRITZ,19,0.2913793103448276
BAYONNE,BIARRITZ,20,0.2798850574712644
BAYONNE,BIARRITZ,21,0.2810344827586207
BAYONNE,BIARRITZ,22,0.28448275862068967
BAYONNE,BIARRITZ,23,0.2908045977011494
BAYONNE,BIARRITZ,24,0.30574712643678165
BAYONNE,BIARRITZ,25,0.3022988505747127
BAYONNE,BIARRITZ,26,0.2971264367816092
BAYONNE,BIARRITZ,27,0.29770114942528736
BAYONNE,BIARRITZ,28,0.28448275862068967
BAYONNE,BIARRITZ,29,0.27241379310344827
BAYONNE,BIARRITZ,30,0.027011494252873563
BAYONNE,HENDAYE,0,0.8833333333333334
BAYONNE,HENDAYE,1,0.8564705882352941
BAYONNE,HENDAYE,2,0.8023255813953488
BAYONNE,HENDAYE,3,0.7810344827586208
BAYONNE,HENDAYE,4,0.5540229885057472
BAYONNE,HENDAYE,5,0.5316091954022989
BAYONNE,HENDAYE,6,0.5258620689655172
BAYONNE,HENDAYE,7,0.5074712643678161
