origin,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,AGDE,0,0.09413991139800473
AEROPORT ROISSY CDG 2 TGV,AGDE,1,0.09621904904056976
AEROPORT ROISSY CDG 2 TGV,AGDE,2,0.10343701246280868
AEROPORT ROISSY CDG 2 TGV,AGDE,3,0.0870261575256268
AEROPORT ROISSY CDG 2 TGV,AGDE,4,0.01494429688861612
AEROPORT ROISSY CDG 2 TGV,AGDE,5,0.014145936803236257
AEROPORT ROISSY CDG 2 TGV,AGDE,6,0.01668465988522948
AEROPORT ROISSY CDG 2 TGV,AGDE,7,0.01692495770017323
AEROPORT ROISSY CDG 2 TGV,AGDE,8,0.01702327743156512
AEROPORT ROISSY CDG 2 TGV,AGDE,9,0.013767353771971143
AEROPORT ROISSY CDG 2 TGV,AGDE,10,0.01180019231046208
AEROPORT ROISSY CDG 2 TGV,AGDE,11,0.009397017276611104
AEROPORT ROISSY CDG 2 TGV,AGDE,12,0.0009601651169383199
AEROPORT ROISSY CDG 2 TGV,AGDE,13,0.0012278984881983902
AEROPORT ROISSY CDG 2 TGV,AGDE,14,0.0021678974524227254
AEROPORT ROISSY CDG 2 TGV,AGDE,15,0.001418993055315867
AEROPORT ROISSY CDG 2 TGV,AGDE,16,0.002851653986442887
AEROPORT ROISSY CDG 2 TGV,AGDE,17,0.0028195525055209323
AEROPORT ROISSY CDG 2 TGV,AGDE,18,0.0030197701693296807
AEROPORT ROISSY CDG 2 TGV,AGDE,19,0.0023022708140028095
AEROPORT ROISSY CDG 2 TGV,AGDE,20,0.004322518575757844
AEROPORT ROISSY CDG 2 TGV,AGDE,21,0.0030729873713800046
AEROPORT ROISSY CDG 2 TGV,AGDE,22,0.002352545030657911
AEROPORT ROISSY CDG 2 TGV,AGDE,23,0.003857143546533042
AEROPORT ROISSY CDG 2 TGV,AGDE,24,0.0033827003031603807
AEROPORT ROISSY CDG 2 TGV,AGDE,25,0.0020655313286371533
AEROPORT ROISSY CDG 2 TGV,AGDE,26,0.002493603782685343
AEROPORT ROISSY CDG 2 TGV,AGDE,27,0.003589521207472504
AEROPORT ROISSY CDG 2 TGV,AGDE,28,0.005614939499199911
AEROPORT ROISSY CDG 2 TGV,AGDE,29,0.004142938308108653
AEROPORT ROISSY CDG 2 TGV,AGDE,30,0.0027031018334012233
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,0,0.010369532428355957
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,1,0.005882352941176471
