departure_date,origine,destination,is_open_today
2026-08-01,AEROPORT ROISSY CDG 2 TGV,AGDE,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,ANGOULEME,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,ARRAS,1
2026-08-01,AEROPORT ROISSY CDG 2 TGV,AURAY,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,BEZIERS,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,1
2026-08-01,AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,DOUAI,1
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LA ROCHELLE VILLE,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LAVAL,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LE MANS,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),1
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LORIENT,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LYON (intramuros),0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MARSEILLE ST CHARLES,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MASSY TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MONTPELLIER SAINT ROCH,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,MONTPELLIER SUD DE FRANCE,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,NANTES,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,NARBONNE,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,NIMES CENTRE,0
2026-08-01,AEROPORT ROISSY CDG 2 TGV,NIMES PONT DU GARD,0
